map,lambda,r,steps,caught,reached,path_cost,avg_plan_time
../data/map\map-3.csv,1.5,9,128,0,0,128.0,0.41946626405751886
../data/map\map-3.csv,1.5,10,128,0,0,128.0,0.29782584609438345
../data/map\map-3.csv,2,2,128,0,0,128.0,0.265321741403568
../data/map\map-3.csv,2,3,128,0,0,128.0,0.48128899843777617
../data/map\map-3.csv,2,4,128,0,0,128.0,0.4023431906243786
../data/map\map-3.csv,2,5,128,0,0,128.0,0.27773538124620245
../data/map\map-3.csv,2,6,128,0,0,128.0,0.2690353734378732
../data/map\map-3.csv,2,7,128,0,0,128.0,0.4700753632796477
../data/map\map-3.csv,2,8,128,0,0,128.0,0.4082038562519301
../data/map\map-3.csv,2,9,128,0,0,128.0,0.278128522656516
../data/map\map-3.csv,2,10,128,0,0,128.0,0.26555987187384744
